"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2022","768.90","775.00","779.00","767.65","2.84M","-0.86%"
"12-10-2022","775.55","780.30","781.35","769.20","5.98M","-0.61%"
"11-10-2022","780.30","797.50","797.50","776.00","3.70M","-1.52%"
"10-10-2022","792.35","784.95","794.80","779.70","3.52M","-0.09%"
"07-10-2022","793.10","792.00","796.80","784.70","6.03M","0.57%"
"06-10-2022","788.60","810.55","815.85","786.65","6.50M","-2.49%"
"04-10-2022","808.70","813.00","816.75","807.50","5.77M","0.67%"
"03-10-2022","803.35","803.40","815.55","798.05","12.62M","0.43%"
"30-09-2022","799.90","765.95","809.00","761.45","7.47M","4.61%"
"29-09-2022","764.65","763.95","769.00","759.30","5.41M","0.42%"
"28-09-2022","761.45","755.50","771.00","755.00","5.55M","0.11%"
"27-09-2022","760.60","758.85","765.00","757.20","5.97M","0.74%"
"26-09-2022","755.05","769.95","771.15","753.20","13.14M","-2.11%"
"23-09-2022","771.35","788.00","788.00","768.70","9.27M","-1.63%"
"22-09-2022","784.10","791.20","794.80","776.35","7.72M","0.50%"
"21-09-2022","780.20","792.15","797.00","779.00","9.97M","-1.51%"
"20-09-2022","792.15","786.70","796.95","785.00","7.94M","1.20%"
"19-09-2022","782.75","773.50","786.00","772.20","5.76M","0.40%"
"16-09-2022","779.65","788.00","788.00","776.45","20.21M","-0.69%"
"15-09-2022","785.10","788.00","790.65","782.00","5.49M","0.22%"
"14-09-2022","783.35","776.00","788.40","775.75","6.65M","-0.11%"
"13-09-2022","784.25","774.00","788.90","770.00","8.34M","1.96%"
"12-09-2022","769.15","767.00","771.40","764.50","2.65M","0.44%"
"09-09-2022","765.75","773.00","774.80","762.90","4.63M","-0.53%"
"08-09-2022","769.80","759.00","776.00","757.05","10.65M","2.22%"
"07-09-2022","753.10","755.50","761.90","686.20","126.79M","-1.07%"
"06-09-2022","761.25","740.40","765.00","740.40","10.17M","2.82%"
"05-09-2022","740.40","735.00","741.95","733.25","3.66M","0.73%"
"02-09-2022","735.00","725.00","740.90","719.65","5.69M","-0.01%"
"01-09-2022","735.05","726.50","746.00","726.50","11.87M","1.16%"
"30-08-2022","726.60","722.00","730.10","711.80","8.89M","0.83%"
"29-08-2022","720.60","717.70","724.90","715.10","5.88M","-1.40%"
"26-08-2022","730.85","741.50","741.50","728.00","5.93M","-1.37%"
"25-08-2022","741.00","744.80","754.05","735.25","9.85M","0.30%"
"24-08-2022","738.75","722.85","754.20","718.00","14.92M","0.16%"
"23-08-2022","737.60","725.00","742.60","722.55","8.23M","1.37%"
"22-08-2022","727.60","731.85","734.40","724.40","8.12M","-0.64%"
"19-08-2022","732.30","730.20","737.60","726.00","13.74M","-0.12%"
"18-08-2022","733.20","725.00","736.00","720.90","10.35M","1.42%"
"17-08-2022","722.95","707.00","724.65","702.30","8.81M","2.68%"
"16-08-2022","704.10","715.00","716.00","700.50","6.68M","-0.79%"
"12-08-2022","709.70","709.85","712.50","706.65","4.54M","-0.01%"
"11-08-2022","709.80","718.80","719.40","705.70","7.14M","-0.76%"
"10-08-2022","715.25","713.90","718.00","706.00","12.20M","1.55%"
"08-08-2022","704.35","707.95","709.85","699.00","5.92M","0.10%"
"05-08-2022","703.65","698.00","710.00","696.35","5.81M","1.35%"
"04-08-2022","694.30","698.20","698.50","680.70","6.35M","0.17%"
"03-08-2022","693.15","688.00","696.85","687.00","5.24M","0.92%"
"02-08-2022","686.80","700.00","700.30","681.15","6.24M","-1.10%"
"01-08-2022","694.45","677.95","697.80","677.05","8.81M","2.43%"
"29-07-2022","677.95","672.80","680.65","671.00","7.67M","1.66%"
"28-07-2022","666.85","678.80","679.40","664.20","7.37M","-1.19%"
"27-07-2022","674.90","683.95","683.95","669.70","6.24M","-1.34%"
"26-07-2022","684.10","682.60","685.35","670.25","5.02M","0.84%"
"25-07-2022","678.40","680.00","686.55","676.55","2.91M","-0.07%"
"22-07-2022","678.85","679.70","681.90","675.20","2.42M","0.07%"
"21-07-2022","678.35","671.50","679.95","671.20","3.55M","1.15%"
"20-07-2022","670.65","680.00","680.00","668.20","4.46M","-0.33%"
"19-07-2022","672.90","675.00","677.00","663.10","7.84M","1.49%"
"18-07-2022","663.05","657.00","670.00","649.15","8.98M","1.73%"
"15-07-2022","651.80","648.95","657.50","643.25","5.57M","1.58%"
"14-07-2022","641.65","650.00","652.20","628.75","11.38M","-0.29%"
"13-07-2022","643.50","670.00","670.00","641.00","12.03M","-2.94%"
"12-07-2022","663.00","663.25","666.90","660.00","7.42M","0.37%"
"11-07-2022","660.55","675.00","681.00","658.95","18.69M","-4.98%"
"08-07-2022","695.15","688.00","696.60","686.65","2.73M","1.22%"
"07-07-2022","686.80","692.00","696.50","685.45","3.49M","-1.03%"
"06-07-2022","693.95","684.50","694.95","684.20","4.70M","1.39%"
"05-07-2022","684.45","683.30","689.30","680.05","3.49M","0.37%"
"04-07-2022","681.90","670.50","685.50","666.05","4.23M","1.25%"
"01-07-2022","673.45","684.85","685.80","666.00","4.49M","-1.68%"
"30-06-2022","684.95","689.80","691.60","679.00","6.51M","-0.41%"
"29-06-2022","687.80","677.00","689.10","675.00","5.01M","0.98%"
"28-06-2022","681.15","683.00","684.90","676.30","3.22M","-0.41%"
"27-06-2022","683.95","675.00","687.00","671.20","5.28M","1.90%"
"24-06-2022","671.20","662.10","675.70","662.10","5.62M","1.67%"
"23-06-2022","660.20","648.15","664.60","647.75","4.34M","2.70%"
"22-06-2022","642.85","648.60","650.35","641.45","4.35M","-1.75%"
"21-06-2022","654.30","642.10","658.15","640.50","3.52M","2.09%"
"20-06-2022","640.90","644.95","647.45","634.20","3.88M","-0.43%"
"17-06-2022","643.65","656.00","661.75","638.00","11.09M","-1.61%"
"16-06-2022","654.20","683.10","683.90","650.00","9.53M","-4.09%"
"15-06-2022","682.10","681.95","685.00","673.50","6.01M","0.01%"
"14-06-2022","682.05","669.10","689.40","669.10","8.88M","1.60%"
"13-06-2022","671.30","660.10","673.35","658.00","5.98M","-0.30%"
"10-06-2022","673.35","668.00","676.45","668.00","3.22M","-0.44%"
"09-06-2022","676.35","660.00","679.40","655.10","6.77M","1.97%"
"08-06-2022","663.30","682.50","687.80","660.45","13.90M","-3.21%"
"07-06-2022","685.30","678.15","687.25","673.30","8.35M","0.34%"
"06-06-2022","682.95","682.20","689.80","676.50","6.41M","-0.52%"
"03-06-2022","686.50","697.05","700.80","685.25","6.67M","-1.36%"
"02-06-2022","695.95","688.90","696.95","683.05","3.47M","0.19%"
"01-06-2022","694.65","701.55","706.20","691.25","3.75M","-0.79%"
"31-05-2022","700.20","697.50","706.60","692.60","44.59M","0.16%"
"30-05-2022","699.05","687.45","703.75","683.00","4.68M","2.14%"
"27-05-2022","684.40","697.05","700.00","676.00","7.13M","-1.33%"
"26-05-2022","693.65","690.00","695.50","675.90","5.78M","0.79%"
"25-05-2022","688.20","681.25","689.90","679.55","4.19M","1.47%"
"24-05-2022","678.20","689.25","689.25","675.85","4.05M","-1.12%"
"23-05-2022","685.85","681.80","693.90","679.60","3.79M","-0.30%"
"20-05-2022","687.90","688.50","691.50","683.00","5.58M","2.02%"
"19-05-2022","674.25","685.00","693.00","667.85","7.32M","-3.15%"
"18-05-2022","696.15","721.00","727.15","689.20","18.99M","-1.54%"
